 tracl=1	 tracr=1	  fldr=1	 tracf=1	   cdp=1	  trid=1	offset=-1475	scalel=1	    sx=0	    gx=-1475	    ns=251	    dt=8000	

 tracl=2	 tracr=2	  fldr=1	 tracf=2	   cdp=2	  trid=1	offset=-1425	scalel=1	    sx=0	    gx=-1425	    ns=251	    dt=8000	

 tracl=3	 tracr=3	  fldr=2	 tracf=1	   cdp=3	  trid=1	offset=-1475	scalel=1	    sx=50	    gx=-1425	    ns=251	    dt=8000	

 tracl=4	 tracr=4	  fldr=1	 tracf=3	   cdp=3	  trid=1	offset=-1375	scalel=1	    sx=0	    gx=-1375	    ns=251	    dt=8000	

 tracl=5	 tracr=5	  fldr=2	 tracf=2	   cdp=4	  trid=1	offset=-1425	scalel=1	    sx=50	    gx=-1375	    ns=251	    dt=8000	

 tracl=6	 tracr=6	  fldr=1	 tracf=4	   cdp=4	  trid=1	offset=-1325	scalel=1	    sx=0	    gx=-1325	    ns=251	    dt=8000	

 tracl=7	 tracr=7	  fldr=3	 tracf=1	   cdp=5	  trid=1	offset=-1475	scalel=1	    sx=100	    gx=-1375	    ns=251	    dt=8000	

 tracl=8	 tracr=8	  fldr=2	 tracf=3	   cdp=5	  trid=1	offset=-1375	scalel=1	    sx=50	    gx=-1325	    ns=251	    dt=8000	

 tracl=9	 tracr=9	  fldr=1	 tracf=5	   cdp=5	  trid=1	offset=-1275	scalel=1	    sx=0	    gx=-1275	    ns=251	    dt=8000	

 tracl=10	 tracr=10	  fldr=3	 tracf=2	   cdp=6	  trid=1	offset=-1425	scalel=1	    sx=100	    gx=-1325	    ns=251	    dt=8000	

 tracl=11	 tracr=11	  fldr=2	 tracf=4	   cdp=6	  trid=1	offset=-1325	scalel=1	    sx=50	    gx=-1275	    ns=251	    dt=8000	

 tracl=12	 tracr=12	  fldr=1	 tracf=6	   cdp=6	  trid=1	offset=-1225	scalel=1	    sx=0	    gx=-1225	    ns=251	    dt=8000	

 tracl=13	 tracr=13	  fldr=4	 tracf=1	   cdp=7	  trid=1	offset=-1475	scalel=1	    sx=150	    gx=-1325	    ns=251	    dt=8000	

 tracl=14	 tracr=14	  fldr=3	 tracf=3	   cdp=7	  trid=1	offset=-1375	scalel=1	    sx=100	    gx=-1275	    ns=251	    dt=8000	

 tracl=15	 tracr=15	  fldr=2	 tracf=5	   cdp=7	  trid=1	offset=-1275	scalel=1	    sx=50	    gx=-1225	    ns=251	    dt=8000	

 tracl=16	 tracr=16	  fldr=1	 tracf=7	   cdp=7	  trid=1	offset=-1175	scalel=1	    sx=0	    gx=-1175	    ns=251	    dt=8000	

